dataset,maxCPU,deltaCPU,maxAcc,deltaAcc,popularityTime,dataTier,sizeGb,age
/ADDdiLepton_LambdaT-2000_Tune4C_8TeV-pythia8/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,154,139,154,139,7,AODSIM,73,0
/ADDdiLepton_LambdaT-2400_Tune4C_8TeV-pythia8/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,168,17,168,17,10,AODSIM,73,7
/ADDdiLepton_LambdaT-3200_Tune4C_8TeV-pythia8/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,151,108,151,108,2,AODSIM,72,42
/ADDdiLepton_LambdaT-4800_Tune4C_8TeV-pythia8/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,385,327,385,327,4,AODSIM,71,0
/ADDdiLepton_LambdaT-5200_Tune4C_8TeV-pythia8/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,327,266,327,266,4,AODSIM,71,0
/ADDmonoJet_MD-3_d-3_Tune4C_8TeV-pythia8/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,193,177,193,177,6,AODSIM,106,49
/ADDmonoPhoton_MD1-d3_8TeV-pythia8/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,26,10,26,10,3,AODSIM,16,28
/ADDmonoPhoton_MD3-d3_8TeV-pythia8/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,50,33,50,33,4,AODSIM,16,49
/BJetPlusX/Run2012B-13Jul2012-v1/AOD,18413,10109,18413,10109,22,AOD,8930,28
/BJetPlusX/Run2012B-22Jan2013-v1/AOD,14395,3552,14395,3552,19,AOD,8946,56
/BJetPlusX/Run2012C-22Jan2013-v1/AOD,25814,20920,25814,20920,12,AOD,11736,133
/BJetPlusX/Run2012C-24Aug2012-v2/AOD,2102,1879,2102,1879,2,AOD,814,0
/BJetPlusX/Run2012C-PromptReco-v1/AOD,1146,758,1146,758,9,AOD,806,14
/BJetPlusX/Run2012C-PromptReco-v2/AOD,22569,10681,22569,10681,27,AOD,10820,175
/BJetPlusX/Run2012D-22Jan2013-v1/AOD,23540,11272,23540,11272,19,AOD,14228,147
/BJetPlusX/Run2012D-PromptReco-v1/AOD,46784,44214,46784,44214,3,AOD,14026,91
/BJets_HT-250To500_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,10046,8427,10046,8427,8,AODSIM,4969,91
/BJets_HT-500To1000_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,5837,4130,5837,4130,11,AODSIM,2670,91
