site,quota,used,cpu,subscribed
T2_AT_Vienna,158000,126329.974998,99871,0
T2_BE_IIHE,518000,416025.154242,19532,1672.43810232
T2_BE_UCL,340000,266895.287028,18875,14814.2407758
T2_BR_SPRACE,475000,421800.309902,3454,175.831375966
T2_BR_UERJ,250000,87681.1684697,0,0
T2_CH_CSCS,244000,194000.313296,14060,0
T2_CN_Beijing,160000,128176.198807,7289,2667.83849897
T2_DE_DESY,800000,558408.679302,180491,143.84076113
T2_DE_RWTH,450000,397757.581743,13825,2401.06535799
T2_ES_CIEMAT,425000,316020.555101,4443,0
T2_ES_IFCA,400000,311789.448493,38740,3450.29110982
T2_FI_HIP,250000,191279.863582,5156,653.595987926
T2_FR_CCIN2P3,300000,233213.445308,6,4143.87975376
T2_FR_GRIF_IRFU,225000,107710.452229,40874,44.2429262
T2_FR_GRIF_LLR,300000,222095.604083,60501,428.256577987
T2_FR_IPHC,393000,322100.4357,17953,9042.06297694
T2_HU_Budapest,150000,119506.628495,4475,3654.63030347
T2_IN_TIFR,275000,210839.42208,9847,8.597154866
T2_IT_Bari,552000,431755.451483,16849,2497.69385967
T2_IT_Legnaro,487000,430944.009781,24182,0
T2_IT_Pisa,495000,399388.674319,28207,881.006382773
T2_IT_Rome,457000,410970.752726,29835,1925.63078386
T2_KR_KNU,280000,227323.423759,18086,0
T2_PL_Warsaw,173000,109786.269834,5438,2293.6217303
T2_PT_NCG_Lisbon,125000,91999.0289741,2382,42.74302
T2_RU_JINR,250000,216262.363969,12013,2497.69385967
T2_UA_KIPT,200000,198576.587029,9260,12450.6299245
T2_UK_London_Brunel,400000,288308.468479,10421,9330.07437153
T2_UK_London_IC,700000,598716.290968,53628,43.071637954
T2_UK_SGrid_RALPP,325000,243187.699893,19105,0
T2_US_Caltech,575000,488656.073828,47234,0
T2_US_Florida,575000,415922.980786,19337,0
T2_US_MIT,575000,444357.678506,64354,2292.30172276
T2_US_Nebraska,775000,686528.141563,44147,0
T2_US_Purdue,834000,725675.10958,84505,224.45913568
T2_US_UCSD,575000,508057.696261,11608,96.645790506
T2_US_Wisconsin,575000,481170.284161,40335,3864.30372041
T2_RU_IHEP,206000,185306.439183,21187,7225.17543477
T2_RU_INR,100000,88689.7621331,5836,0
T2_CH_CERN,900000,650985.206704,26963,0
T2_TH_CUNSTDA,80000,75343.9860578,2091,44.537467118
T2_UK_SGrid_Bristol,60000,45862.8255255,773,9805.2834545
